Rk,Date,Tm,Opp,Rslt,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,#,Attendance,GmLen
300,2015-07-03,ATL,PHI,W 2-1,9.0,9,1,0,3,5,0,1,134,85,0,0,37,33,1,0,0,0,1,0,1,0,1,0,0,0,0.00,0.534,2.977,1.402,3,33090,163
301,2015-05-15,LAA,BAL,W 3-1,9.0,5,1,1,1,6,1,0,116,78,0,0,33,32,0,0,0,0,0,0,1,0,0,0,0,0,1.00,0.534,3.510,1.227,3,35470,143
302,2015-05-14,BOS,SEA,W 2-1,9.0,7,1,1,3,2,0,0,122,78,1,0,35,32,0,0,0,0,0,0,1,0,0,0,0,1,1.00,0.534,3.116,1.699,4,20172,173
303,2015-04-18,BAL,BOS,W 4-1,9.0,7,1,1,3,10,0,0,163,100,2,0,35,32,1,0,0,0,0,0,2,1,0,0,0,1,1.00,0.534,3.642,1.425,4,37655,204
304,2015-08-31,MIA,ATL,W 4-0,9.0,3,0,0,5,6,0,0,148,92,1,0,32,27,0,0,0,0,0,0,2,1,1,0,0,1,0.00,0.533,3.977,1.183,5,12916,174
305,2015-07-25,ARI,MIL,W 2-0,9.0,6,0,0,3,7,0,0,131,84,0,0,37,33,0,0,0,0,1,0,1,2,1,0,0,0,0.00,0.533,4.318,1.266,2,34957,175
306,2015-05-08,LAA,HOU,W 2-0,9.0,6,0,0,0,6,0,0,120,77,,,32,32,0,0,0,0,0,0,0,0,2,1,0,0,0.00,0.533,4.117,.977,1,40006,129
307,2015-08-16,LAD,CIN,W 2-1,9.0,6,1,1,2,10,0,0,146,94,1,0,34,31,3,0,0,0,0,1,1,0,0,0,0,0,1.00,0.532,3.016,1.494,4,47388,161
308,2015-07-08,LAA,COL,W 3-2,9.0,13,2,2,3,5,0,0,148,93,1,0,42,38,3,0,2,0,1,0,0,1,0,1,0,1,2.00,0.530,2.994,1.938,5,24660,207
309,2015-06-30,LAA,NYY,W 2-1,9.0,2,1,1,2,9,1,0,117,74,0,0,30,28,0,0,0,0,0,0,3,0,0,0,0,1,1.00,0.530,3.116,1.128,3,42036,157
310,2015-07-11,COL,ATL,W 3-2,9.0,6,2,2,5,8,2,0,148,87,4,0,38,33,1,0,1,0,0,0,0,0,0,0,0,1,2.00,0.528,2.994,1.642,5,40620,206
311,2015-09-15,BAL,BOS,W 6-5,13.0,12,5,5,4,15,1,0,218,140,0,0,53,47,3,0,1,1,0,1,1,1,1,1,0,0,3.46,0.527,1.514,1.736,7,21260,260
312,2015-09-02,LAD,SFG,W 2-1,9.0,6,1,1,1,15,0,0,132,95,,,32,31,0,0,0,0,0,0,0,1,1,2,0,0,1.00,0.527,3.016,1.416,1,41648,151
