Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
612,2015-05-06,TEX,HOU,W 11-3,42,38,11,13,3,1,3,10,3,0,9,0,0,1,0,0,0,1,0.373,6.620,.291,4,11,22230,152
613,2015-09-30,TEX,DET,W 6-2,34,31,6,9,1,0,3,6,3,0,3,0,0,0,0,0,0,1,0.372,1.911,.388,4,11,28633,193
614,2015-07-07 (2),CHC,STL,W 5-3,35,29,5,6,3,0,0,5,3,0,5,1,0,2,1,0,0,0,0.372,1.312,1.224,6,17,35703,182
615,2015-05-22,TEX,NYY,W 10-9,42,37,10,12,1,0,3,9,3,0,7,0,2,0,2,1,1,1,0.372,5.661,.512,5,9,40008,199
616,2015-05-19,MIN,PIT,W 8-5,38,34,8,8,2,0,2,6,2,0,7,2,0,0,0,1,0,0,0.372,3.851,.519,3,14,22357,173
617,2015-04-13,OAK,HOU,W 8-1,39,37,8,12,2,0,3,8,2,0,4,0,0,0,1,3,0,0,0.372,3.622,.336,4,9,19279,171
618,2015-04-11,CLE,DET,L 6-9,40,34,6,8,2,0,0,6,5,0,8,0,0,1,1,1,0,0,0.372,1.359,1.440,7,11,23161,256
619,2015-08-19,PHI,TOR,W 7-4,37,33,7,10,1,0,3,7,3,0,7,0,0,1,0,0,1,0,0.371,3.277,.378,6,12,26246,144
620,2015-05-26,STL,ARI,W 6-4,34,31,6,8,3,0,1,6,3,0,9,0,0,0,0,0,2,0,0.371,2.243,.752,4,13,41107,171
621,2015-05-15,CHC,PIT,W 11-10,61,47,11,15,1,0,2,11,9,2,10,3,0,2,1,0,2,0,0.371,6.994,1.271,16,20,33617,301
622,2015-05-13,MIA,LAD,W 5-4,41,38,5,12,2,0,0,5,2,0,8,1,0,0,0,1,0,0,0.371,0.983,1.393,9,15,38316,204
623,2015-04-28,OAK,LAA,W 6-2,33,31,6,7,0,0,2,6,1,0,1,1,0,0,1,1,2,0,0.371,2.107,.534,3,9,17674,126
624,2015-09-09,HOU,OAK,W 11-5,46,40,11,13,5,0,4,11,3,0,6,2,0,1,1,0,1,0,0.370,6.619,.475,8,10,13387,218
625,2015-06-03,CHW,TEX,W 9-2,45,38,9,12,3,0,2,9,6,0,8,1,0,0,0,1,1,0,0.370,4.398,.414,9,11,32598,186
626,2015-04-26,DET,CLE,W 8-6,40,33,8,13,1,1,1,7,3,2,7,1,1,2,1,2,2,0,0.370,4.189,.757,8,11,30698,181
627,2015-09-30,BOS,NYY,W 9-5,48,45,9,13,3,0,3,9,2,0,8,0,1,0,0,0,0,0,0.369,3.696,1.269,6,10,39328,250
628,2015-09-16,TOR,ATL,W 9-1,45,36,9,12,5,0,1,9,6,0,4,1,0,2,1,2,0,0,0.369,5.024,.412,9,16,15178,188
629,2015-09-06,TOR,BAL,W 10-4,41,36,10,15,4,0,3,10,3,0,8,0,0,2,0,1,1,0,0.369,6.144,.316,7,12,46136,202
630,2015-06-28,ARI,SDP,W 6-4,35,34,6,6,0,0,3,6,0,0,8,1,0,0,1,0,1,0,0.369,2.105,.606,2,12,32223,151
631,2015-06-09,ATL,SDP,W 6-5,38,36,6,11,2,0,1,6,2,0,7,0,0,0,1,0,0,0,0.369,2.466,1.295,8,16,24049,195
632,2015-09-29,BOS,NYY,W 10-4,41,38,10,11,4,0,3,10,3,0,6,0,0,0,1,2,0,0,0.368,5.662,.481,4,10,38512,177
633,2015-07-22,PHI,TBR,W 5-4,45,40,5,12,2,0,0,4,3,0,8,0,2,0,3,2,0,0,0.368,0.563,1.576,11,16,22252,223
634,2015-06-01,HOU,BAL,W 5-2,35,29,5,9,1,0,1,5,4,0,10,1,0,1,0,0,1,0,0.368,1.108,1.410,6,12,17259,165
635,2015-05-11,NYY,TBR,W 11-5,42,39,11,14,2,0,5,11,1,0,9,1,0,1,0,0,0,1,0.368,6.752,.464,4,9,10619,168
636,2015-09-09,STL,CHC,W 4-3,32,29,4,5,1,1,0,4,3,0,8,0,0,0,0,0,1,0,0.367,0.241,1.312,4,17,43557,167
637,2015-04-25,NYM,NYY,W 8-2,41,40,8,12,0,1,3,7,0,0,6,1,0,0,1,0,0,0,0.367,3.663,.472,6,9,47909,165
638,2015-04-15,TOR,TBR,W 12-7,41,36,12,14,3,0,3,12,5,0,5,0,0,0,0,2,0,0,0.367,8.143,.324,5,11,15086,182
639,2015-09-12,LAD,ARI,W 9-5,47,42,9,16,3,0,4,9,4,0,11,0,1,0,0,0,1,0,0.366,4.681,.442,11,22,42517,232
640,2015-06-27,STL,CHC,W 8-1,41,34,8,13,4,0,0,8,6,1,4,0,1,0,0,2,0,0,0.366,4.242,.786,9,12,46407,183
