Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
1,2015-05-26,TOR,CHW,W 10-9,38,37,10,13,8,0,2,10,1,0,7,0,0,0,0,0,0,0,1.470,6.142,1.431,4,12,17276,192
2,2015-07-27,CHC,COL,W 9-8,39,35,9,11,1,0,1,8,3,0,5,0,1,0,0,0,0,0,1.308,4.947,1.084,4,17,35070,215
3,2015-07-30,STL,COL,W 9-8,43,37,9,14,3,1,2,9,5,1,6,1,0,0,0,0,0,1,1.178,6.309,1.635,9,17,43518,230
4,2015-09-26,SFG,OAK,W 14-10,49,44,14,19,6,0,3,14,4,1,4,0,0,1,0,0,0,0,1.162,9.620,1.140,8,10,36067,212
5,2015-04-19,SEA,TEX,W 11-10,49,42,11,17,1,0,3,11,7,1,7,0,0,0,0,1,0,0,1.081,7.621,1.785,12,13,31601,225
6,2015-10-03,LAA,TEX,W 11-10,47,41,11,17,4,0,2,10,4,1,9,0,0,1,0,1,0,0,1.077,6.400,1.266,9,13,37271,246
7,2015-07-03,HOU,BOS,W 12-8,53,48,12,17,3,0,1,11,4,0,9,1,0,0,1,0,2,0,1.066,6.843,1.526,11,10,37837,263
8,2015-04-21,CHC,PIT,W 9-8,45,40,9,12,3,0,2,8,4,1,14,1,0,0,2,0,0,0,1.061,4.852,1.616,9,17,13680,198
9,2015-08-29,CIN,MIL,W 12-9,45,42,12,17,2,0,3,11,3,0,4,0,0,0,0,1,0,1,1.054,7.774,1.060,6,17,34365,239
10,2015-09-15,CIN,SFG,W 9-8,45,37,9,9,0,1,1,9,6,0,12,1,1,0,2,1,1,0,1.050,4.493,1.097,6,19,41044,242
11,2015-07-19,PHI,MIA,W 8-7,36,33,8,10,3,0,3,8,2,0,4,1,0,0,0,1,0,0,1.037,4.277,1.415,4,16,21739,195
12,2015-05-16,CLE,TEX,W 10-8,47,39,10,14,4,0,1,10,5,1,11,0,0,3,2,0,2,0,1.035,5.398,1.759,10,11,31045,217
13,2015-09-21,BOS,TBR,W 8-7,41,33,8,10,2,0,1,8,6,0,7,1,0,1,1,1,1,0,1.028,3.875,1.485,9,10,33673,227
14,2015-09-03,SDP,LAD,W 10-7,38,36,10,15,5,1,2,10,1,0,7,0,1,0,0,0,0,1,1.003,6.537,.936,4,16,33505,202
15,2015-09-13,NYM,ATL,W 10-7,48,37,10,9,2,0,2,9,8,0,7,3,0,0,1,1,0,2,0.998,5.582,1.331,8,18,23786,218
16,2015-07-21,SEA,DET,W 11-9,48,40,11,14,3,0,2,10,5,2,5,2,0,1,0,0,1,0,0.993,6.713,1.414,10,12,34088,235
17,2015-07-12,KCR,TOR,W 11-10,39,37,11,15,2,0,2,10,0,0,3,1,1,0,2,2,0,0,0.981,6.991,.766,4,9,31962,203
18,2015-05-26,CHW,TOR,L 9-10,45,41,9,14,3,0,1,9,2,0,8,1,0,1,1,0,1,0,0.971,4.662,1.507,9,9,17276,192
19,2015-07-06,LAD,PHI,W 10-7,42,36,10,15,5,1,2,10,3,0,4,0,1,1,0,0,0,1,0.966,6.431,1.175,8,18,45180,253
20,2015-09-20,TBR,BAL,W 7-6,43,38,7,14,3,1,2,6,4,1,12,0,0,1,0,1,1,0,0.958,3.502,1.972,10,15,17801,198
21,2015-09-23,SDP,SFG,W 5-4,42,37,5,11,4,0,0,5,5,2,6,0,0,0,0,0,0,0,0.934,1.504,1.882,11,16,23556,216
22,2015-05-31,ATL,SFG,W 7-5,39,37,7,9,0,1,2,7,2,0,6,0,0,0,1,0,0,0,0.931,2.944,1.538,5,14,41553,182
23,2015-07-29,LAD,OAK,W 10-7,39,35,10,12,4,1,1,10,4,0,9,0,0,0,0,0,1,0,0.925,6.432,.980,5,17,51788,204
24,2015-06-07,TOR,HOU,W 7-6,40,37,7,12,1,0,3,7,2,0,4,1,0,0,1,1,3,0,0.923,3.169,1.607,8,10,35571,186
25,2015-04-28,WSN,ATL,W 13-12,47,40,13,15,5,1,3,13,4,0,8,1,0,2,1,1,0,0,0.906,9.025,.818,7,16,14833,206
26,2015-05-13,WSN,ARI,W 9-6,42,35,9,8,1,0,3,9,6,1,5,1,0,0,0,0,2,0,0.903,4.683,1.608,6,16,19026,218
27,2015-08-06,ATL,MIA,W 9-8,39,32,9,12,3,1,1,9,2,1,1,1,3,1,0,0,1,0,0.900,5.465,.925,6,13,18548,198
28,2015-08-03,ATL,SFG,W 9-8,52,49,9,17,2,0,4,9,2,1,4,1,0,0,1,2,1,0,0.884,4.142,1.403,10,19,23428,233
29,2015-09-19,CIN,MIL,W 9-7,44,40,9,13,2,1,2,9,3,1,11,0,1,0,1,0,0,0,0.879,4.772,1.657,8,19,30387,219
30,2015-06-03,COL,LAD,W 7-6,41,34,7,10,2,0,1,6,6,1,6,0,0,1,0,0,2,0,0.872,2.974,1.522,9,16,24575,224
31,2015-04-11,DET,CLE,W 9-6,45,39,9,14,1,0,1,8,6,1,11,0,0,0,0,1,2,1,0.872,4.360,1.177,9,13,23161,256
32,2015-05-23,CHC,ARI,W 9-6,41,36,9,8,2,0,1,9,3,0,13,2,0,0,1,1,2,0,0.864,4.683,1.671,5,15,30502,194
33,2015-08-09,OAK,HOU,W 5-4,40,36,5,12,2,0,1,5,4,2,6,0,0,0,0,0,0,1,0.852,1.379,2.020,9,12,20278,215
34,2015-09-11,BAL,KCR,W 14-8,45,37,14,12,3,0,4,14,7,0,11,1,0,0,1,0,0,0,0.839,9.992,1.581,7,11,45420,239
35,2015-08-31,STL,WSN,W 8-5,38,34,8,13,1,0,0,8,4,1,5,0,0,0,0,3,0,0,0.837,4.243,1.221,6,15,42081,187
36,2015-08-24,NYM,PHI,W 16-7,50,47,16,20,7,0,8,16,2,0,8,1,0,0,0,0,0,0,0.836,11.810,.586,7,15,23744,213
37,2015-07-06,DET,SEA,W 12-5,44,42,12,19,0,1,4,12,1,0,7,0,0,1,0,3,0,0,0.836,7.884,.760,5,9,22580,197
38,2015-05-11,LAD,MIA,W 5-3,35,29,5,7,2,0,1,5,5,0,6,0,1,0,0,0,0,1,0.832,1.218,1.362,5,15,44941,182
39,2015-08-25,MIN,TBR,W 11-7,43,38,11,12,2,1,3,11,5,0,11,0,0,0,0,1,0,0,0.830,6.751,.762,5,9,9632,204
40,2015-08-23,KCR,BOS,W 8-6,42,37,8,14,4,1,1,7,1,0,2,1,2,1,1,0,1,0,0.829,3.359,1.754,7,9,36151,220
41,2015-08-08,DET,BOS,W 7-6,37,35,7,12,2,0,2,6,2,0,9,0,0,0,0,0,0,1,0.827,3.190,1.260,6,11,42098,191
42,2015-06-29,ARI,LAD,W 10-6,41,34,10,12,1,1,2,9,5,1,8,0,2,0,1,0,6,1,0.826,6.160,1.159,7,16,24215,229
43,2015-06-12,TOR,BOS,W 13-10,43,41,13,15,2,2,1,13,2,0,4,0,0,0,1,1,0,1,0.824,8.358,.804,3,10,37575,204
44,2015-05-12,KCR,TEX,W 7-6,45,41,7,12,4,1,3,7,2,1,6,1,0,1,1,1,0,0,0.822,1.887,1.481,8,9,23659,214
45,2015-10-01,ARI,COL,W 8-6,37,34,8,12,3,1,1,7,2,1,5,0,0,1,0,1,2,0,0.817,4.161,1.256,5,16,20826,190
46,2015-07-01,MIA,SFG,W 6-5,31,26,6,8,1,1,1,5,4,0,2,1,0,0,0,5,0,1,0.816,2.349,1.417,1,13,19341,165
47,2015-07-28,NYY,TEX,W 21-5,60,46,21,19,5,1,2,20,10,0,11,2,0,0,1,1,0,0,0.812,16.399,.452,12,11,28403,218
48,2015-07-27,COL,CHC,L 8-9,42,39,8,13,1,0,3,8,3,0,6,0,0,0,0,0,0,1,0.808,3.851,1.287,7,16,35070,215
49,2015-06-02 (2),LAD,COL,W 9-8,42,39,9,13,0,1,4,9,3,0,7,0,0,0,0,1,1,0,0.807,4.007,1.313,6,16,24972,204
50,2015-05-04,STL,CHC,W 10-9,40,33,10,11,2,0,1,10,4,0,6,1,1,1,0,1,0,0,0.804,6.241,1.387,6,15,41981,219
51,2015-07-22,TEX,COL,W 10-8,45,36,10,10,0,1,1,9,7,2,12,1,0,1,0,0,1,0,0.802,5.007,.999,8,16,33348,225
52,2015-04-28,KCR,CLE,W 11-5,45,41,11,18,4,0,2,11,4,1,3,0,0,0,0,2,0,1,0.795,6.358,1.006,7,9,10698,193
53,2015-08-21,NYM,COL,W 14-9,48,42,14,16,3,0,5,14,4,0,3,1,0,1,0,0,2,0,0.794,9.005,.623,7,16,31079,214
54,2015-06-14,NYM,ATL,W 10-8,40,36,10,14,2,0,4,9,4,0,9,0,0,0,0,0,1,0,0.794,6.466,1.087,6,17,36340,179
55,2015-04-21,CIN,MIL,W 16-10,49,41,16,13,0,0,5,16,6,0,8,1,0,1,2,0,2,0,0.789,11.772,.664,6,16,27293,202
56,2015-04-10,MIA,TBR,W 10-9,47,40,10,13,4,0,0,9,6,0,8,1,0,0,0,1,3,0,0.785,5.924,1.100,9,17,17375,216
57,2015-07-24,COL,CIN,W 6-5,38,35,6,11,0,2,2,5,2,0,7,0,0,1,0,0,1,0,0.780,1.121,1.592,6,16,37184,185
58,2015-08-12,TBR,ATL,W 9-6,40,37,9,14,4,0,2,7,2,0,11,0,0,1,1,0,1,0,0.778,5.225,1.421,7,12,16337,192
59,2015-05-25,TEX,CLE,W 10-8,40,37,10,9,2,0,3,9,3,1,11,0,0,0,1,0,1,0,0.772,5.359,1.104,3,12,13614,212
60,2015-08-24,CIN,DET,W 12-5,41,35,12,11,3,1,3,12,6,1,5,0,0,0,0,0,2,0,0.771,8.277,.816,5,14,30150,203
61,2015-07-10,MIN,DET,W 8-6,37,34,8,10,1,0,1,8,2,0,7,1,0,0,0,1,2,0,0.771,3.754,.970,4,10,31545,202
62,2015-09-19,HOU,OAK,W 10-6,40,33,10,15,5,0,2,9,5,0,4,0,0,2,0,2,1,0,0.766,6.107,1.128,6,13,27044,224
63,2015-04-16,NYM,MIA,W 7-5,35,30,7,9,2,0,1,7,3,0,6,0,1,1,0,1,1,0,0.765,3.467,1.286,4,14,20556,181
64,2015-06-24,ARI,COL,W 8-7,45,39,8,13,3,0,1,8,5,0,6,0,0,1,0,0,0,0,0.764,3.006,1.759,10,17,30367,235
65,2015-08-22,CHC,ATL,W 9-7,37,35,9,11,2,1,4,9,2,0,8,0,0,0,0,0,0,0,0.759,5.313,1.021,4,17,41196,162
66,2015-06-21,BAL,TOR,W 13-9,47,42,13,16,0,2,2,13,5,0,9,0,0,0,1,1,0,1,0.759,8.663,1.244,7,11,46092,224
67,2015-09-30,OAK,LAA,W 8-7,42,35,8,6,1,1,0,7,7,0,10,0,0,0,4,1,0,1,0.758,3.884,1.430,7,13,34033,219
68,2015-09-03,KCR,DET,W 15-7,47,41,15,20,2,0,2,15,5,0,3,0,0,1,0,1,0,0,0.756,10.994,.899,8,13,29409,238
69,2015-04-12,SEA,OAK,W 8-7,41,37,8,7,1,0,2,6,3,0,6,0,0,1,2,1,0,0,0.752,3.136,1.050,3,10,32282,191
70,2015-07-26,COL,CIN,W 17-7,46,38,17,15,2,3,5,17,6,0,6,0,1,1,0,0,0,0,0.748,12.561,.429,5,15,46828,210
71,2015-07-28,PIT,MIN,W 8-7,44,39,8,11,1,0,1,7,3,0,7,1,1,0,1,0,0,0,0.747,3.491,1.677,9,10,30795,204
72,2015-06-05,PIT,ATL,W 10-8,44,39,10,13,1,0,2,9,5,0,8,0,0,0,1,2,2,0,0.747,6.023,1.045,7,17,27508,208
73,2015-08-18,DET,CHC,W 10-8,48,43,10,19,4,0,3,10,3,1,13,0,0,2,0,0,1,0,0.745,5.851,.833,11,18,39684,216
74,2015-07-25,TOR,SEA,W 8-6,43,33,8,8,4,0,1,8,9,1,6,1,0,0,0,1,0,0,0.744,3.883,1.427,8,11,45027,209
75,2015-07-12,PIT,STL,W 6-5,44,40,6,12,1,1,0,6,4,1,9,0,0,0,0,0,0,1,0.738,2.134,1.562,9,17,33544,222
76,2015-09-19,BOS,TOR,W 7-6,43,40,7,13,3,1,2,6,3,1,6,0,0,0,0,0,0,0,0.737,2.661,1.413,9,10,47415,188
77,2015-05-26,SEA,TBR,W 7-6,44,41,7,12,0,0,2,7,3,0,7,0,0,0,1,1,2,1,0.736,2.279,1.197,7,12,9628,232
78,2015-05-24,HOU,DET,W 10-8,44,39,10,13,1,1,2,9,4,1,15,0,1,0,0,0,2,0,0.736,5.713,1.118,7,10,36449,202
79,2015-04-16,ARI,SFG,W 7-6,51,47,7,11,2,0,3,7,3,1,8,1,0,0,0,0,1,0,0.732,1.590,1.459,8,20,41545,260
80,2015-05-03,SDP,COL,W 8-6,35,31,8,7,2,0,3,8,1,0,4,3,0,0,0,0,1,0,0.731,4.535,.770,3,15,34197,192
81,2015-06-19,LAA,OAK,W 12-7,46,38,12,12,5,0,1,12,6,0,6,0,0,2,2,1,0,1,0.729,7.620,.960,7,11,25528,218
82,2015-08-31,CIN,CHC,W 13-6,47,39,13,11,1,0,2,12,7,1,7,1,0,0,2,1,0,0,0.724,8.854,1.009,7,17,34017,202
83,2015-06-16,OAK,SDP,W 6-5,39,33,6,8,2,1,1,6,6,0,5,0,0,0,0,1,2,1,0.722,2.102,1.190,6,16,28482,177
84,2015-08-06,LAD,PHI,W 10-8,43,40,10,15,4,0,2,10,2,0,9,0,0,1,0,1,0,0,0.721,5.812,.715,6,15,27839,208
85,2015-08-09,PIT,LAD,W 13-6,48,38,13,16,1,2,3,13,5,0,10,3,0,2,0,1,1,0,0.720,9.314,1.376,11,15,37094,219
86,2015-05-30,CIN,WSN,W 8-5,37,33,8,11,3,0,1,8,4,1,9,0,0,0,0,1,1,0,0.720,4.278,1.837,5,14,36294,188
87,2015-05-03,CLE,TOR,W 10-7,41,31,10,13,5,0,1,10,7,1,4,0,1,2,0,2,0,0,0.720,5.873,.917,7,10,16128,186
88,2015-09-14,WSN,PHI,W 8-7,49,45,8,15,0,0,4,8,4,0,15,0,0,0,0,3,0,1,0.717,2.881,1.484,8,21,15402,234
89,2015-07-27,CHW,BOS,W 10-8,46,40,10,15,7,2,0,8,4,2,8,1,1,0,1,1,0,0,0.713,5.359,1.224,9,9,37401,234
90,2015-05-18,TOR,LAA,W 10-6,44,38,10,17,5,0,1,10,5,0,7,0,1,0,0,0,1,1,0.713,6.142,.954,10,11,29306,208
91,2015-06-10,LAD,ARI,W 7-6,40,32,7,9,2,0,2,7,5,0,8,0,2,1,1,0,0,0,0.710,3.834,1.000,8,17,47174,215
92,2015-05-06,CHW,DET,W 7-6,42,36,7,12,1,0,2,6,5,0,3,0,0,1,1,0,1,0,0.707,3.269,1.424,11,10,18268,221
93,2015-08-18,TOR,PHI,W 8-5,45,37,8,9,1,0,3,8,6,0,9,1,1,0,2,0,0,0,0.700,3.812,.891,10,18,26547,190
94,2015-04-18,TOR,ATL,W 6-5,38,35,6,13,2,1,2,6,3,0,0,0,0,0,0,5,1,0,0.700,1.662,1.230,5,10,34743,161
95,2015-10-03 (1),MIA,PHI,W 7-6,43,41,7,13,2,1,1,5,2,1,8,0,0,0,1,0,2,0,0.697,2.811,1.456,9,17,0,199
96,2015-05-11,MIL,CHW,W 10-7,37,34,10,10,3,1,3,9,2,0,9,0,1,0,1,0,1,0,0.696,6.242,.475,3,16,29886,189
97,2015-04-14,LAD,SEA,W 6-5,40,36,6,12,2,0,2,6,4,0,6,0,0,0,1,1,0,1,0.689,2.836,1.939,9,15,43115,220
98,2015-06-23,PHI,NYY,W 11-6,45,38,11,11,4,1,2,11,4,0,11,3,0,0,1,1,0,0,0.685,6.661,1.223,7,10,36198,225
99,2015-04-29,DET,MIN,W 10-7,42,42,10,17,5,0,4,10,0,0,6,0,0,0,0,0,1,2,0.684,5.490,1.137,5,10,19447,213
100,2015-05-09,MIL,CHC,W 12-4,40,33,12,11,2,0,3,12,5,0,4,0,0,2,1,1,0,0,0.682,8.242,.676,4,14,39600,183
101,2015-09-07,NYY,BAL,W 8-6,39,37,8,12,1,0,3,8,2,0,8,0,0,0,1,0,0,0,0.678,4.142,1.073,7,10,31039,190
102,2015-07-30,COL,STL,L 8-9,45,39,8,16,3,0,2,7,2,1,8,2,1,1,2,2,1,2,0.677,3.771,1.221,10,17,43518,230
103,2015-04-27,HOU,SDP,W 9-4,42,37,9,10,3,0,3,8,5,0,13,0,0,0,0,0,3,1,0.676,5.102,.909,6,17,19532,208
104,2015-09-17,CHC,PIT,W 9-6,48,44,9,17,7,0,1,8,4,2,7,0,0,0,2,2,0,0,0.674,4.852,.744,12,15,28228,185
105,2015-05-04,WSN,MIA,W 6-4,39,34,6,12,1,0,1,6,4,0,5,0,0,1,0,1,0,0,0.672,2.125,1.639,9,15,24731,162
106,2015-09-10,CLE,DET,W 7-5,40,34,7,10,3,0,3,7,4,0,5,1,1,0,0,0,2,0,0.670,2.875,1.200,9,9,11166,191
107,2015-08-15,SDP,COL,W 7-5,40,35,7,11,4,0,0,6,3,0,8,0,0,2,1,0,0,1,0.670,2.007,1.379,6,18,37554,193
108,2015-08-18,WSN,COL,W 15-6,52,40,15,15,5,0,1,13,10,1,6,0,0,2,0,0,0,0,0.669,10.006,.965,10,15,24320,225
109,2015-08-23,TOR,LAA,W 12-5,48,42,12,17,3,0,2,9,4,0,7,0,0,2,2,2,0,0,0.667,7.882,.807,9,10,37060,183
110,2015-07-24,PIT,WSN,W 7-5,36,35,7,12,2,0,3,7,1,0,12,0,0,0,0,1,0,0,0.667,3.311,.933,5,17,38371,177
111,2015-04-07,SDP,LAD,W 7-3,43,40,7,11,1,1,0,6,2,1,7,0,1,0,3,0,2,0,0.663,2.983,1.282,9,15,40356,211
112,2015-06-02,ARI,ATL,W 7-6,43,32,7,9,1,0,1,7,10,2,4,0,1,0,0,1,2,0,0.662,3.161,1.324,12,15,17101,198
113,2015-05-22,LAA,BOS,W 12-5,48,38,12,12,3,0,3,11,7,0,7,2,0,1,1,0,2,1,0.660,7.358,.698,9,10,36150,215
114,2015-04-26,HOU,OAK,W 7-6,42,38,7,10,2,0,1,7,4,1,9,0,0,0,1,0,4,1,0.660,2.622,1.902,8,11,22080,191
115,2015-09-26,OAK,SFG,L 10-14,46,38,10,11,4,0,1,10,6,0,4,2,0,0,1,1,0,0,0.659,5.621,1.043,9,11,36067,212
116,2015-09-17,LAA,MIN,W 11-8,48,42,11,15,2,0,4,11,6,0,7,0,0,0,0,0,2,0,0.655,6.491,.662,10,11,18697,236
117,2015-09-01,TEX,SDP,W 8-6,42,39,8,12,3,0,1,5,2,1,8,0,0,1,0,0,2,0,0.653,4.102,1.127,7,18,21215,220
118,2015-08-04,SFG,ATL,W 8-3,42,36,8,11,3,0,2,8,5,1,6,0,0,1,0,1,1,0,0.652,4.024,1.034,7,14,18411,195
119,2015-04-14,BOS,WSN,W 8-7,40,36,8,11,1,0,1,6,1,0,5,3,0,0,2,1,1,0,0.649,3.874,1.388,8,11,35258,203
120,2015-08-22,NYM,COL,W 14-9,50,46,14,21,9,0,1,13,4,0,6,0,0,0,1,1,0,0,0.648,9.006,.417,9,14,46170,207
121,2015-06-27,SFG,COL,W 7-5,38,35,7,12,4,0,1,7,3,2,5,0,0,0,1,2,0,0,0.647,3.392,1.462,7,15,41746,206
122,2015-09-12,KCR,BAL,W 14-6,45,40,14,14,3,0,2,14,5,1,5,0,0,0,0,0,0,0,0.646,9.491,.828,4,10,35439,220
123,2015-07-28,HOU,LAA,W 10-5,40,33,10,14,3,1,2,9,4,0,9,2,1,0,0,1,1,0,0.644,6.107,.878,6,10,24031,199
124,2015-06-03,ARI,ATL,W 9-8,41,36,9,12,4,0,1,8,4,1,7,0,0,1,0,0,1,0,0.643,5.162,.994,8,15,17717,197
125,2015-09-11,TBR,BOS,W 8-4,37,36,8,12,4,0,2,8,0,0,7,1,0,0,0,0,1,0,0.642,4.223,1.124,5,10,14796,206
126,2015-09-07,NYM,WSN,W 8-5,40,36,8,11,5,0,3,8,2,0,10,0,0,2,0,0,0,0,0.640,3.642,.988,5,16,34210,206
127,2015-08-07,LAA,BAL,W 8-4,40,36,8,13,2,0,2,8,4,0,5,0,0,0,0,0,0,0,0.640,4.341,1.071,8,11,42578,178
128,2015-09-25,MIA,ATL,W 12-11,41,39,12,20,4,2,1,11,2,0,2,0,0,0,0,3,1,1,0.639,8.348,.671,5,17,24626,199
129,2015-09-02,CIN,CHC,W 7-4,41,39,7,12,2,1,2,7,1,0,6,0,1,0,1,0,2,0,0.638,2.852,1.047,7,13,31165,190
130,2015-08-12,MIA,BOS,W 14-6,43,40,14,17,1,2,2,14,2,0,8,0,1,0,0,0,2,0,0.638,10.349,.523,5,14,26041,187
131,2015-07-11,PIT,STL,W 6-5,57,49,6,11,1,1,2,6,6,1,8,1,1,0,1,1,0,0,0.636,0.008,1.878,12,20,37318,304
132,2015-09-04,SEA,OAK,W 11-8,41,37,11,13,4,0,2,11,3,0,10,0,0,1,1,1,0,2,0.635,6.620,.911,3,10,16382,218
133,2015-06-12,LAA,OAK,W 5-4,33,30,5,9,2,0,2,5,3,0,3,0,0,0,0,2,0,1,0.634,1.342,1.273,4,9,42113,175
134,2015-05-05,LAA,SEA,W 5-4,35,31,5,8,0,0,2,5,4,1,4,0,0,0,0,1,0,0,0.634,1.340,1.186,6,10,33394,157
135,2015-10-03,CHW,DET,W 4-3,39,35,4,8,3,0,0,4,4,1,10,0,0,0,2,0,2,0,0.632,0.220,1.800,9,12,17772,195
136,2015-09-27,PHI,WSN,W 12-5,48,42,12,15,2,0,2,11,5,0,5,1,0,0,2,2,2,0,0.628,7.640,1.435,9,15,28661,182
137,2015-04-25,BAL,BOS,W 5-4,41,37,5,11,3,1,2,5,1,0,4,1,0,2,0,0,1,0,0.624,0.253,1.161,8,10,36757,177
138,2015-08-22,ARI,CIN,W 11-7,43,40,11,16,3,0,3,9,0,0,6,0,1,2,0,1,2,0,0.622,6.815,.746,5,16,36216,221
139,2015-07-25,NYY,MIN,W 8-5,37,35,8,10,2,0,4,8,1,0,5,0,0,1,0,1,0,0,0.621,3.491,1.184,2,12,40660,174
140,2015-06-07,BOS,OAK,W 7-4,37,34,7,13,3,0,1,7,2,0,7,0,0,1,0,1,1,0,0.621,2.875,1.336,6,12,36913,191
141,2015-04-25,LAD,SDP,W 11-8,45,38,11,13,4,0,4,11,5,0,4,1,1,0,0,0,0,0,0.617,7.103,.470,7,14,44454,216
142,2015-07-07 (1),KCR,TBR,W 9-5,43,37,9,15,1,0,2,9,4,0,1,2,0,0,0,1,1,0,0.616,4.756,1.637,9,9,22386,190
143,2015-09-05 (1),MIL,CIN,W 8-6,44,38,8,14,3,1,1,8,4,0,6,1,0,1,0,1,3,0,0.614,3.811,1.161,9,18,28632,207
144,2015-08-07,ATL,MIA,W 6-3,35,33,6,8,0,0,0,6,2,0,8,0,0,0,1,0,0,1,0.614,2.465,1.263,5,14,22769,173
145,2015-04-20,HOU,SEA,W 7-5,37,34,7,9,3,0,3,6,1,0,9,0,1,1,1,1,1,0,0.614,2.884,.905,3,11,15129,206
146,2015-06-13,TBR,CHW,W 5-4,35,32,5,9,1,2,0,4,2,1,8,1,0,0,0,0,2,0,0.613,1.224,1.367,6,11,20248,166
147,2015-05-09,PIT,STL,W 7-5,34,29,7,9,4,0,1,6,4,0,9,0,0,1,0,1,0,1,0.612,3.312,1.130,3,17,38068,154
148,2015-04-29,WSN,ATL,W 13-4,47,42,13,15,2,0,1,12,5,0,11,0,0,0,0,0,0,0,0.612,9.025,.761,7,13,12595,167
149,2015-07-11,SFG,PHI,W 8-5,41,38,8,16,3,2,0,7,2,0,5,0,1,0,0,1,0,0,0.611,4.393,1.162,9,17,41980,197
150,2015-06-10,SFG,NYM,W 8-5,42,39,8,14,3,0,3,8,3,0,5,0,0,0,0,1,0,0,0.609,4.023,.832,7,15,24436,203
151,2015-04-28,TOR,BOS,W 11-8,48,41,11,17,1,1,2,10,6,0,11,0,0,1,0,2,1,0,0.608,6.359,.759,10,9,33920,241
152,2015-09-18,WSN,MIA,W 5-4,44,35,5,9,1,0,1,4,6,3,11,1,0,2,0,1,0,0,0.607,0.584,2.109,10,18,27495,202
153,2015-08-07,MIN,CLE,W 10-9,44,41,10,15,5,2,2,10,2,1,8,0,1,0,0,0,1,0,0.607,5.359,1.246,7,9,30365,204
154,2015-05-25,SFG,MIL,W 8-4,43,38,8,13,1,0,1,7,5,0,12,0,0,0,0,2,2,0,0.606,3.772,.955,8,12,41969,195
155,2015-07-08,STL,CHC,W 6-5,40,35,6,8,0,2,1,6,5,1,10,0,0,0,0,0,0,0,0.604,1.852,1.041,7,16,37993,191
156,2015-08-19,MIL,MIA,W 8-7,43,36,8,12,1,0,3,8,6,0,8,1,0,0,0,0,0,0,0.602,4.241,.992,11,17,30453,191
157,2015-06-13,TEX,MIN,W 11-7,40,35,11,15,5,0,2,11,5,1,2,0,0,0,0,4,0,0,0.601,6.912,.795,5,10,28661,164
158,2015-04-21,KCR,MIN,W 6-5,39,33,6,10,1,0,2,6,5,0,1,0,1,0,0,0,3,0,0.600,1.992,1.470,9,11,20990,175
159,2015-05-26,NYM,PHI,W 5-4,42,34,5,9,1,0,0,5,7,0,7,0,0,1,0,2,1,0,0.599,1.042,1.572,8,15,21064,197
160,2015-07-25,TEX,LAA,W 7-6,42,37,7,9,3,0,1,6,4,0,8,1,0,0,1,0,0,0,0.598,2.883,1.419,8,12,43052,212
161,2015-04-17,ATL,TOR,W 8-7,45,40,8,12,1,1,2,8,5,0,8,0,0,0,1,0,0,0,0.597,3.661,1.268,10,10,21397,189
162,2015-09-01,MIN,CHW,W 8-6,41,36,8,12,3,0,1,7,3,1,13,0,1,1,2,0,0,0,0.596,3.992,1.043,9,10,25803,186
163,2015-05-21,ARI,MIA,W 7-6,42,35,7,11,4,0,0,7,3,0,9,0,2,2,0,0,1,0,0.596,2.895,1.563,8,17,20692,182
164,2015-08-06,DET,KCR,W 8-6,39,35,8,12,1,0,3,8,4,0,8,0,0,0,0,1,1,1,0.592,4.187,1.243,7,11,38919,206
165,2015-06-06,SDP,CIN,W 9-7,44,36,9,10,2,0,2,9,8,0,10,0,0,0,0,0,0,0,0.592,4.812,1.075,8,17,40946,192
166,2015-05-02,TEX,OAK,W 8-7,45,40,8,14,3,0,2,8,5,0,8,0,0,0,0,1,0,0,0.592,5.241,1.238,10,11,32207,225
167,2015-09-04,MIA,NYM,W 6-5,48,45,6,17,4,0,0,6,1,0,7,0,1,1,0,2,0,0,0.591,1.284,1.552,10,18,24763,229
168,2015-06-13,BAL,NYY,W 9-4,39,39,9,15,3,1,3,9,0,0,4,0,0,0,0,0,0,0,0.591,4.993,.845,6,10,38909,194
169,2015-10-02,TOR,TBR,W 8-4,44,42,8,17,3,2,2,8,1,0,5,0,0,1,0,0,0,0,0.589,3.752,.947,9,10,13668,187
170,2015-08-03,TBR,CHW,W 5-4,44,38,5,12,4,0,1,5,4,1,9,1,0,1,0,0,0,0,0.588,0.804,1.452,12,13,16496,187
171,2015-08-03,TEX,HOU,W 12-9,44,39,12,15,2,2,2,12,5,0,8,0,0,0,0,0,1,0,0.586,7.912,.440,8,10,21671,199
172,2015-05-01,CLE,TOR,W 9-4,41,36,9,13,2,0,3,9,4,1,4,0,1,0,1,0,0,0,0.584,4.875,.871,8,10,15088,157
173,2015-06-23,COL,ARI,W 10-5,36,32,10,11,2,0,5,10,3,0,5,0,1,0,0,2,0,0,0.583,5.561,.861,2,14,30079,171
174,2015-06-23,OAK,TEX,W 8-6,40,37,8,11,3,0,2,8,2,0,5,1,0,0,0,0,0,0,0.583,3.400,.998,5,10,35889,197
